Actor1CountryCode,Actor2CountryCode,Actor2Type1Code,Actor2Type2Code,AvgTone,MonthYear,NumSources,SOURCEURL
CHN,CHN,GOV,,-9.62025316455701,202003,1,https://www.washingtonexaminer.com/opinion/calling-coronavirus-wuhan-virus-isnt-racist-but-china-wants-you-to-think-it-is
ITA,ITA,GOV,BUS,-3.37869473422434,202003,4,https://www.ibtimes.com/cornered-ecb-faces-high-expectations-virus-response-2936292
JPN,IRN,GOV,,-3.68043087971275,202003,1,https://theconversation.com/coronavirus-should-give-us-hope-that-we-are-able-to-tackle-the-climate-crisis-133174
JPN,IRN,GOV,,-3.68043087971275,202003,1,https://theconversation.com/coronavirus-should-give-us-hope-that-we-are-able-to-tackle-the-climate-crisis-133174
GBR,GBR,GOV,,-4.23572744014733,202003,1,https://www.edinburghnews.scotsman.com/health/coronavirus-two-new-lothian-cases-confirmed-scotland-total-rises-23-2442519
USA,USA,GOV,,-2.47252747252747,202003,1,https://www.washingtonpost.com/politics/trump-coronavirus-secret-service-handshake/2020/03/09/36a1c5ca-6217-11ea-acca-80c22bbee96f_story.html
USA,USA,GOV,,-5,202003,1,https://www.indianagazette.com/opinion/a-virus-can-kill-and-so-can-blowhards/article_018593c6-6203-11ea-bc40-93f4372e9f86.html
USA,USA,GOV,,-5.71808510638298,202003,1,https://www.nbcnews.com/health/health-news/live-blog/coronavirus-updates-live-northern-italy-lockdown-anxiety-grows-d-c-n1152886/ncrd1153401
USA,USA,GOV,,-1.21951219512195,202003,2,https://www.theepochtimes.com/ted-cruz-says-hes-undergoing-self-quarantine-after-coming-into-contact-with-coronavirus-patient_3264829.html
USA,USA,GOV,,-0.913837357551655,202003,3,https://panow.com/2020/03/08/cruise-ship-carrying-237-canadians-has-reported-21-cases-of-covid-19-so-far/
USA,USA,GOV,,-3.55371447417861,202003,3,https://onlinenigeria.com/stories/71464-nigerian-man-tests-positive-for-coronavirus-in-the-united-states.html
USA,USA,GOV,,-2.58827052589684,202003,1,https://www.reuters.com/article/us-health-coronavirus-trump-numbers-anal-idUSKBN20W16E
USA,USA,GOV,,-2.58827052589684,202003,1,https://www.reuters.com/article/us-health-coronavirus-trump-numbers-anal-idUSKBN20W16E
USA,USA,GOV,,-5,202003,1,https://www.indianagazette.com/opinion/a-virus-can-kill-and-so-can-blowhards/article_018593c6-6203-11ea-bc40-93f4372e9f86.html
USA,USA,GOV,,-3.00931338165381,202003,2,http://www.msn.com/en-us/money/markets/trump-to-meet-with-economic-advisers-as-coronavirus-pummels-markets/ar-BB10X3ZN
USA,USA,GOV,,-7.12830957230142,202002,1,https://www.rawstory.com/2020/03/trump-and-his-close-advisers-have-not-been-tested-for-coronavirus-despite-possible-cpac-exposure-report/
USA,USA,GOV,,-0.29411764705882,202003,1,https://www.wral.com/fact-check-trump-blames-obama-for-limits-on-coronavirus-testing/19002407/
USA,USA,GOV,,-0.48309178743962,202003,1,https://www.breitbart.com/clips/2020/03/09/biden-i-wish-trump-would-just-be-quiet-on-coronavirus/
USA,USA,GOV,,-5,202003,1,https://www.indianagazette.com/opinion/a-virus-can-kill-and-so-can-blowhards/article_018593c6-6203-11ea-bc40-93f4372e9f86.html
USA,USA,GOV,,-4.07470288624788,202003,1,https://www.nbcnews.com/health/health-news/live-blog/coronavirus-updates-live-northern-italy-lockdown-anxiety-grows-d-c-n1152886/ncrd1153331
USA,USA,GOV,,-1.21951219512195,202003,2,https://www.theepochtimes.com/ted-cruz-says-hes-undergoing-self-quarantine-after-coming-into-contact-with-coronavirus-patient_3264829.html
USA,USA,MIL,,-2.76679841897233,202003,1,https://www.manilatimes.net/2020/03/11/news/national/filipinos-in-virus-hit-ship-flown-home/702049/
JPN,IRN,GOV,,-3.83912248628885,202003,1,https://www.eco-business.com/opinion/can-the-coronavirus-give-us-hope-in-tackling-climate-change/
JPN,IRN,GOV,,-3.83912248628885,202003,1,https://www.eco-business.com/opinion/can-the-coronavirus-give-us-hope-in-tackling-climate-change/
USA,USA,GOV,,-3.99579390115667,202003,1,https://www.reuters.com/article/us-health-coronavirus-usa/u-s-far-behind-in-coronavirus-testing-as-cases-rise-senate-democrat-idUSKBN20X1ZB
ITA,ITA,GOV,,-4.29268243410162,202003,7,https://www.msn.com/en-gb/finance/other/is-the-uk-heading-for-an-italy-style-coronavirus-lockdown/ar-BB10ZRnx
CHN,CHN,GOV,,-2.72988505747126,202003,1,https://www.spectator.co.uk/article/china-s-coronavirus-victory-might-be-short-lived
JPN,IRN,GOV,,-3.83912248628885,202003,1,https://www.eco-business.com/opinion/can-the-coronavirus-give-us-hope-in-tackling-climate-change/
JPN,IRN,GOV,,-3.83912248628885,202003,1,https://www.eco-business.com/opinion/can-the-coronavirus-give-us-hope-in-tackling-climate-change/
USA,USA,GOV,,-2.1488137029757,202003,5,http://www.msn.com/en-nz/news/world/forget-about-rope-lines-secret-service-faces-unique-challenge-of-protecting-trump-from-coronavirus-exposure/ar-BB10Ykv3
USA,USA,GOV,,-0.72904009720535,202003,1,https://www.washingtonexaminer.com/opinion/trumps-coronavirus-payroll-tax-cut-is-exactly-what-the-economy-needs
GBR,GBR,GOV,,0.70093457943925,202003,1,https://news.sky.com/story/nadine-dorries-health-minister-tests-positive-for-coronavirus-11954928
GBR,GBR,GOV,,0.70093457943925,202003,1,https://news.sky.com/story/nadine-dorries-health-minister-tests-positive-for-coronavirus-11954928
USA,USA,GOV,,-1.60642570281125,202003,1,https://www.cnbc.com/2020/03/10/biden-says-he-wouldd-veto-medicare-for-all-as-coronavirus-focuses-attention-on-health.html
CHN,CHN,GOV,,-4.71186096911468,202003,2,https://www.thestar.com.my/news/regional/2020/03/10/women-more-likely-to-survive-coronavirus-in-china-studies-find
USA,USA,GOV,HLH,-1.72413793103448,202003,1,https://www.washingtonexaminer.com/news/not-a-big-deal-trump-says-white-house-physician-sees-no-reason-to-test-him-for-coronavirus
CHN,CHN,GOV,,-5.24017467248908,202003,1,https://www.newsy.com/stories/xi-jinping-visits-origin-of-coronavirus-outbreak/
IRN,IRN,GOV,,-6.68527121779154,202003,2,"https://www.presstv.com/Detail/2020/03/10/620543/Russia,-Iran,-Coronavirus,-Testing-Kits"
IRN,IRN,GOV,,-6.27177700348432,202003,1,"https://www.presstv.com/Detail/2020/03/10/620543/Russia,-Iran,-Coronavirus,-Testing-Kits"
IRN,IRN,OPP,,-5.84958217270195,202003,1,https://www.haaretz.com/middle-east-news/.premium-coronavirus-iran-death-toll-covid19-sanctions-stops-protests-1.8639593
