Actor1Name,Actor2CountryCode,Actor2Type1Code,Actor2Type2Code,AvgTone,MonthYear,NumSources,SOURCEURL
WASHINGTON,USA,GOV,,-3.5,202003,1,http://nna-leb.gov.lb/en/show-news/113023/Washington-state-confirms-second-coronavirus-death-New-York-reports-first-case
MINIST OF HEALTH,TUN,GOV,,-0.91185410334346,202003,1,https://africatimes.com/2020/03/03/morocco-senegal-and-tunisia-add-to-africas-covid19-count/
WORLD HEALTH ORGANIZATION,CHN,GOV,,-5.55555555555555,202003,1,https://www.bworldonline.com/shares-slump-further-on-fears-over-virus-outbreak/
MINIST OF HEALTH,GMB,GOV,,0,202003,1,https://foroyaa.gm/health-minister-reaffirms-governments-commitment-in-tackling-coronavirus/
HEALTH DEPARTMENT,ARE,GOV,HLH,-1.14503816793893,202003,1,https://www.siasat.com/delhi-hyderabad-report-first-coronavirus-cases-1844655/
HEALTH OFFICIAL,AFG,GOV,,-7.01754385964912,202003,1,http://www.afghanistantimes.af/1501-infected-66-dead-from-coronavirus-in-iran/
WORLD HEALTH ORGANIZATION,CHN,GOV,,-2.92960209881942,202003,1,https://www.fpri.org/article/2020/03/asian-politics-in-time-of-corona/
IRELAND,IRL,GOV,,-1.46674286351472,202003,2,http://www.irishnews.com/news/northernirelandnews/2020/03/02/news/republic-s-first-coronavirus-patient-being-treated-in-dublin-hospital-1855985/
SINGAPORE,IDN,GOV,,-0.26178010471205,202003,1,https://www.straitstimes.com/asia/se-asia/mum-daughter-indonesias-first-confirmed-cases
GHULAM NABI AZAD,IND,GOV,HLH,-6.73211781206171,202003,1,https://www.thehindu.com/news/national/cong-bjp-mps-get-into-scuffle-in-ls/article30965579.ece
GHULAM NABI AZAD,IND,GOV,HLH,-6.73211781206171,202003,1,https://www.thehindu.com/news/national/cong-bjp-mps-get-into-scuffle-in-ls/article30965579.ece
MEDICAL OFFICIAL,IRN,GOV,MED,-6.56370656370656,202003,1,https://www.middleeasteye.net/news/iran-supreme-leader-khamenei-adviser-dies-coronavirus
MEDICAL OFFICIAL,IRN,GOV,MED,-6.56370656370656,202003,1,https://www.middleeasteye.net/news/iran-supreme-leader-khamenei-adviser-dies-coronavirus
HEALTH OFFICIAL,GBR,GOV,,-4.01891252955083,202003,1,https://www.manchestereveningnews.co.uk/news/uk-news/boris-johnson-cobra-meeting-coronavirus-17843730
HEALTH MINIST,GBR,GOV,,-0.42872454448017,202003,1,https://www.walesonline.co.uk/news/politics/latest-welsh-coronavirus-advice-six-17847011
HEALTH MINIST,GBR,GOV,,-0.42872454448017,202003,1,https://www.walesonline.co.uk/news/politics/latest-welsh-coronavirus-advice-six-17847011
WORLD HEALTH ORGANIZATION,USA,GOV,,-3.51170568561873,202003,1,https://www.theedgemarkets.com/article/us-officials-talk-down-coronavirus-market-panic-tout-economic-strength
WORLD HEALTH ORGANIZATION,USA,GOV,,-3.51170568561873,202003,1,https://www.theedgemarkets.com/article/us-officials-talk-down-coronavirus-market-panic-tout-economic-strength
WASHINGTON,USA,GOV,,-3.70381568073014,202003,18,https://edmontonsun.com/news/world/trump-vows-to-screen-travelers-after-first-american-dies-of-coronavirus/wcm/235a23b7-0686-4870-8271-71e1b8645a4a
HEALTH OFFICIAL,USA,GOV,,-3.12891113892366,202003,1,https://www.msn.com/en-us/news/us/two-connecticut-residents-tested-negative-for-coronavirus-over-the-weekend-gov-ned-lamont-briefed-by-us-surgeon-general/ar-BB10DRbL
HEALTH OFFICIAL,USA,GOV,,1.69491525423729,202003,1,http://www.chicagotribune.com/politics/ct-obama-no-primary-endorsement-pritzker-fitch-spin-20200302-m24q4bz5lbd7vbrtgwayobx73m-story.html
HEALTH OFFICIAL,USA,GOV,,-4.21348314606741,202003,1,https://news.wbfo.org/post/new-york-confirms-its-first-case-coronavirus-24-now-canada
HEALTH OFFICIAL,USA,GOV,,-4.21348314606741,202003,1,https://news.wbfo.org/post/new-york-confirms-its-first-case-coronavirus-24-now-canada
WORLD HEALTH ORGANIZATION,BHR,GOV,,4.98812351543943,202003,1,https://www.newsofbahrain.com/bahrain/61765.html
IRAN,FRA,GOV,,0.560747663551401,202003,1,http://www.china.org.cn/world/Off_the_Wire/2020-03/05/content_75775105.htm
